"datetime","main.aqi","components.co","components.no","components.no2","components.o3","components.so2","components.pm2_5","components.pm10","components.nh3","coord.lon","coord.lat","extraction_date_time","city_name"
"2025-01-01 00:01:27+08:00",2.0,360.49,0.03,5.74,14.66,2.65,15.3,17.33,3.58,123.9469,10.2706,"2025-01-01 00:01:27.631817+08:00","Dapitan"
"2025-01-01 00:01:29+08:00",1.0,377.18,0.0,16.79,27.18,17.41,6.75,11.24,2.69,120.9367,14.3294,"2025-01-01 00:01:29.982851+08:00","Dasmariñas"
"2025-01-01 00:01:31+08:00",1.0,407.22,3.8,6.86,0.11,1.91,6.86,9.11,3.01,125.6128,7.0731,"2025-01-01 00:01:31.448145+08:00","Davao"
"2025-01-01 00:01:32+08:00",1.0,390.53,0.13,6.26,3.26,0.73,8.27,8.96,2.34,125.3572,6.7497,"2025-01-01 00:01:32.821888+08:00","Digos"
"2025-01-01 00:01:34+08:00",1.0,196.93,0.0,1.0,30.4,0.34,0.66,0.74,0.44,123.3414,8.5894,"2025-01-01 00:01:34.793923+08:00","Dipolog"
"2025-01-01 00:01:37+08:00",1.0,267.03,0.0,4.16,40.77,1.22,6.19,7.11,3.9,123.3081,9.3103,"2025-01-01 00:01:37.318762+08:00","Dumaguete"
"2025-01-01 00:01:39+08:00",1.0,263.69,0.0,2.04,32.9,0.47,3.75,4.07,2.0,124.5225,8.5631,"2025-01-01 00:01:39.842365+08:00","El Salvador"
"2025-01-01 00:01:41+08:00",1.0,206.95,0.0,1.3,36.84,0.32,1.34,1.82,0.2,123.4992,10.8403,"2025-01-01 00:01:42.076362+08:00","Escalante"
"2025-01-01 00:01:43+08:00",2.0,834.47,0.32,20.05,8.32,3.28,22.33,32.15,11.27,120.9464,15.3072,"2025-01-01 00:01:43.560274+08:00","Gapan"
"2025-01-01 00:01:46+08:00",2.0,487.33,0.05,5.27,6.44,0.62,14.67,15.45,2.69,125.1717,6.1128,"2025-01-01 00:01:46.132009+08:00","General Santos"
"2025-01-01 00:01:47+08:00",1.0,377.18,0.0,16.79,27.18,17.41,6.75,11.24,2.69,120.8817,14.3869,"2025-01-01 00:01:48.004849+08:00","General Trias"
"2025-01-01 00:01:50+08:00",1.0,206.95,0.0,1.65,28.25,0.14,0.67,0.76,0.34,125.1167,8.8333,"2025-01-01 00:01:50.595292+08:00","Gingoog City"
"2025-01-01 00:01:53+08:00",1.0,433.92,0.0,10.71,25.03,1.88,9.88,11.12,5.13,122.8706,10.0989,"2025-01-01 00:01:53.102389+08:00","Himamaylan"
"2025-01-01 00:01:54+08:00",2.0,514.03,0.0,7.2,24.68,0.76,14.1,16.15,5.45,121.8892,17.1485,"2025-01-01 00:01:54.507368+08:00","Ilagan"
"2025-01-01 00:01:57+08:00",1.0,213.62,0.0,3.13,30.4,2.18,1.81,2.17,0.39,124.4,8.25,"2025-01-01 00:01:57.102933+08:00","Iligan City"
"2025-01-01 00:01:59+08:00",1.0,287.06,0.0,2.91,32.54,0.98,6.11,6.59,1.05,122.55,10.75,"2025-01-01 00:01:59.416804+08:00","Iloilo City"
"2025-01-01 00:02:01+08:00",3.0,1588.82,11.4,50.72,0.0,30.52,46.08,69.62,9.63,120.9367,14.4297,"2025-01-01 00:02:01.352573+08:00","Imus"
"2025-01-01 00:02:02+08:00",1.0,243.66,0.0,1.74,27.18,7.63,5.14,5.88,0.87,123.4167,13.4167,"2025-01-01 00:02:02.504414+08:00","Iriga City"
"2025-01-01 00:02:04+08:00",1.0,293.73,0.0,4.88,33.26,1.37,4.42,5.23,1.66,122.9888,10.2048,"2025-01-01 00:02:04.189427+08:00","Isabela"
"2025-01-01 00:02:05+08:00",2.0,574.11,0.01,15.08,19.31,2.62,17.64,19.72,14.19,122.8122,9.9889,"2025-01-01 00:02:06.008412+08:00","Kabankalan"
"2025-01-01 00:02:07+08:00",2.0,761.03,0.48,21.25,1.14,4.05,23.95,28.38,27.61,125.0894,7.0083,"2025-01-01 00:02:07.731790+08:00","Kidapawan"
"2025-01-01 00:02:10+08:00",2.0,520.71,0.02,8.05,9.39,1.19,11.84,13.85,7.79,124.8469,6.5031,"2025-01-01 00:02:10.219740+08:00","Koronadal"
"2025-01-01 00:02:11+08:00",1.0,243.66,0.0,2.34,35.41,1.09,3.3,4.2,0.6,122.9208,10.4233,"2025-01-01 00:02:11.813470+08:00","La Carlota"
"2025-01-01 00:02:13+08:00",1.0,297.07,0.01,5.4,11.8,1.03,6.59,7.37,3.99,125.7022,6.0872,"2025-01-01 00:02:13.869481+08:00","Lamitan"
"2025-01-01 00:02:14+08:00",2.0,247.0,0.0,0.74,78.68,0.25,4.79,6.1,0.31,120.5936,18.1989,"2025-01-01 00:02:15.093403+08:00","Laoag"
